,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_units,number_of_nodes,config,seed,scaled score,improvement,elapsed time (min)
0,100,0.058,1.2781667709350586,23.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,9,3,1.0,0.0,0.02130277951558431
0,100,0.058,1.2855002880096436,23.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,9,4,1.0,0.0,0.021425004800160727
1,245,0.334,3.2018513679504395,57.0,1.0,,,,,,,,,0.2857142857142857,0.2,0.1619047619047619,0.1047619047619047,0.1714285714285714,0.0761904761904762,2,900,0,0,0.8067632850241547,0.040000000000000036,0.05336418946584066
2,392,0.348,5.060850381851196,38.0,12.0,,,,,,,,,0.2857142857142857,0.3047619047619048,0.1333333333333333,0.0952380952380952,0.1238095238095238,0.0571428571428571,2,900,0,0,0.8405797101449275,0.013999999999999957,0.0843475063641866
3,538,0.376,6.6990931034088135,28.0,1.0,,,,,,,,,0.2857142857142857,0.3333333333333333,0.1714285714285714,0.0761904761904762,0.0857142857142857,0.0476190476190476,2,900,0,0,0.9082125603864735,0.028000000000000025,0.11165155172348022
4,685,0.414,8.420750141143799,18.0,6.0,,,,,,,,,0.3904761904761905,0.3047619047619048,0.1142857142857142,0.0761904761904762,0.0952380952380952,0.019047619047619,2,900,0,0,1.0,0.03799999999999998,0.14034583568572997
0,100,0.294,1.5246224403381348,37.0,12.0,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,2,900,0,0,0.7101449275362319,0.0,0.02541037400563558
1,246,0.378,3.088845014572144,14.0,6.0,,,,,,,,,0.1809523809523809,0.1904761904761904,0.1047619047619047,0.2571428571428571,0.1809523809523809,0.0857142857142857,2,900,0,1,0.9130434782608696,0.10199999999999998,0.051480750242869064
8,1276,0.398,14.786219835281372,18.0,27.0,,,,,,,,,0.2547169811320754,0.1886792452830188,0.0660377358490566,0.3490566037735849,0.1132075471698113,0.0283018867924528,2,900,0,1,0.961352657004831,0.020000000000000018,0.24643699725468954
9,1423,0.412,16.452938318252563,18.0,12.0,,,,,,,,,0.2924528301886792,0.1509433962264151,0.0754716981132075,0.330188679245283,0.1320754716981132,0.0188679245283018,2,900,0,1,0.9951690821256038,0.013999999999999957,0.2742156386375427
13,2007,0.414,23.0491943359375,18.0,6.0,,,,,,,,,0.4150943396226415,0.1698113207547169,0.0377358490566037,0.2735849056603773,0.0849056603773584,0.0188679245283018,2,900,0,1,1.0,0.0020000000000000018,0.38415323893229164
0,100,0.276,1.4315509796142578,48.0,33.0,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,2,900,0,1,0.6666666666666667,0.0,0.023859182993570965
2,390,0.398,4.9736008644104,18.0,27.0,,,,,,,,,0.2980769230769231,0.3269230769230769,0.125,0.1057692307692307,0.0673076923076923,0.0769230769230769,2,900,0,2,0.961352657004831,0.03600000000000003,0.08289334774017335
5,832,0.414,9.970824480056764,18.0,6.0,,,,,,,,,0.4230769230769231,0.3269230769230769,0.0576923076923076,0.0865384615384615,0.0576923076923076,0.048076923076923,2,900,0,2,1.0,0.01599999999999996,0.16618040800094608
0,100,0.362,1.4651081562042236,17.0,12.0,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,2,900,0,2,0.8743961352657005,0.0,0.024418469270070395
2,395,0.366,4.903946876525879,19.0,6.0,,,,,,,,,0.1057692307692307,0.3173076923076923,0.1153846153846153,0.2788461538461538,0.1153846153846153,0.0673076923076923,2,900,0,3,0.8840579710144928,0.033999999999999975,0.08173244794209798
