,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_units,number_of_nodes,config,seed,scaled score,improvement,elapsed time (min)
37,5626,0.548,7.770978450775146,0.0,11.0,16.0,58.0,26.0,33.0,15.0,29.0,32.0,1.0,0.9433962264150944,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0188679245283018,10,900,7,3,0.9820788530465949,0.0020000000000000018,0.1295163075129191
46,6972,0.55,9.18252968788147,0.0,11.0,16.0,58.0,26.0,33.0,15.0,27.0,32.0,5.0,0.8962264150943396,0.0283018867924528,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0377358490566037,10,900,7,3,0.985663082437276,0.0020000000000000018,0.15304216146469116
51,7721,0.556,9.882320880889893,0.0,11.0,16.0,58.0,26.0,33.0,15.0,18.0,32.0,5.0,0.9339622641509434,0.0094339622641509,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0188679245283018,10,900,7,3,0.996415770609319,0.006000000000000005,0.16470534801483155
142,21387,0.558,27.953028202056885,0.0,11.0,16.0,58.0,50.0,33.0,15.0,18.0,37.0,5.0,0.9528301886792452,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,10,900,7,3,1.0,0.0020000000000000018,0.46588380336761476
0,100,0.396,0.5760631561279297,0.0,6.0,151.0,42.0,64.0,19.0,15.0,10.0,31.0,4.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,10,900,7,3,0.7096774193548386,0.0,0.00960105260213216
1,244,0.356,0.811058759689331,0.0,4.0,35.0,49.0,100.0,62.0,6.0,31.0,7.0,2.0,0.1523809523809524,0.219047619047619,0.1523809523809524,0.2,0.1142857142857142,0.1619047619047619,10,900,7,4,0.6379928315412186,0.019999999999999962,0.013517645994822185
2,390,0.406,1.0358188152313232,1.0,7.0,25.0,44.0,95.0,60.0,10.0,31.0,13.0,7.0,0.1619047619047619,0.2857142857142857,0.1142857142857142,0.2761904761904762,0.0571428571428571,0.1047619047619047,10,900,7,4,0.7275985663082437,0.050000000000000044,0.017263646920522055
3,539,0.416,1.2132649421691897,0.0,13.0,43.0,83.0,91.0,43.0,0.0,9.0,98.0,0.0,0.238095238095238,0.2666666666666666,0.1238095238095238,0.2571428571428571,0.0380952380952381,0.0761904761904762,10,900,7,4,0.7455197132616487,0.009999999999999953,0.020221082369486495
7,1137,0.442,1.976243495941162,0.0,6.0,49.0,84.0,45.0,42.0,4.0,27.0,14.0,4.0,0.3113207547169811,0.3396226415094339,0.0377358490566037,0.2264150943396226,0.0471698113207547,0.0377358490566037,10,900,7,4,0.7921146953405017,0.026000000000000023,0.032937391599019365
8,1287,0.466,2.144698143005371,0.0,5.0,44.0,40.0,50.0,65.0,15.0,8.0,36.0,0.0,0.3679245283018867,0.2641509433962264,0.0566037735849056,0.2358490566037736,0.0283018867924528,0.0471698113207547,10,900,7,4,0.8351254480286738,0.02400000000000002,0.03574496905008952
12,1878,0.478,2.849472522735596,0.0,4.0,44.0,39.0,50.0,65.0,15.0,8.0,31.0,0.0,0.4622641509433962,0.160377358490566,0.1037735849056603,0.1792452830188679,0.0094339622641509,0.0849056603773584,10,900,7,4,0.8566308243727597,0.011999999999999955,0.04749120871225994
14,2172,0.482,3.145399808883667,0.0,0.0,44.0,115.0,50.0,13.0,15.0,18.0,39.0,6.0,0.6132075471698113,0.1226415094339622,0.0849056603773584,0.0754716981132075,0.0094339622641509,0.0943396226415094,10,900,7,4,0.8637992831541218,0.0040000000000000036,0.052423330148061116
16,2468,0.492,3.454989194869995,0.0,0.0,44.0,17.0,49.0,13.0,15.0,26.0,52.0,4.0,0.6981132075471698,0.0377358490566037,0.0566037735849056,0.0660377358490566,0.0094339622641509,0.1320754716981132,10,900,7,4,0.8817204301075268,0.010000000000000009,0.05758315324783325
18,2763,0.5,3.7355196475982666,0.0,0.0,44.0,17.0,49.0,13.0,15.0,18.0,41.0,4.0,0.8584905660377359,0.0283018867924528,0.0283018867924528,0.0094339622641509,0.0094339622641509,0.0660377358490566,10,900,7,4,0.8960573476702508,0.008000000000000007,0.06225866079330444
19,2911,0.512,3.907315731048584,0.0,0.0,44.0,39.0,43.0,60.0,15.0,10.0,57.0,4.0,0.8773584905660378,0.0188679245283018,0.0283018867924528,0.0094339622641509,0.0094339622641509,0.0566037735849056,10,900,7,4,0.9175627240143368,0.01200000000000001,0.06512192885080974
20,3060,0.514,4.043853044509888,0.0,0.0,44.0,39.0,43.0,60.0,15.0,18.0,57.0,4.0,0.8773584905660378,0.0188679245283018,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0660377358490566,10,900,7,4,0.9211469534050178,0.0020000000000000018,0.06739755074183146
23,3508,0.52,4.513166189193726,0.0,0.0,44.0,27.0,51.0,13.0,15.0,18.0,33.0,3.0,0.8867924528301887,0.0094339622641509,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0660377358490566,10,900,7,4,0.9318996415770608,0.006000000000000005,0.0752194364865621
26,3956,0.522,4.924553871154785,0.0,0.0,44.0,27.0,51.0,13.0,15.0,18.0,33.0,4.0,0.8962264150943396,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0660377358490566,10,900,7,4,0.9354838709677419,0.0020000000000000018,0.08207589785257975
28,4253,0.526,5.21445631980896,0.0,0.0,44.0,27.0,51.0,12.0,15.0,18.0,33.0,4.0,0.9150943396226416,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0471698113207547,10,900,7,4,0.9426523297491038,0.0040000000000000036,0.08690760533014934
29,4403,0.528,5.350726127624512,0.0,0.0,44.0,27.0,51.0,0.0,15.0,18.0,56.0,4.0,0.9150943396226416,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0377358490566037,10,900,7,4,0.9462365591397849,0.0020000000000000018,0.08917876879374186
30,4554,0.53,5.491581678390503,0.0,1.0,44.0,39.0,51.0,23.0,15.0,18.0,32.0,4.0,0.9339622641509434,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0188679245283018,10,900,7,4,0.9498207885304659,0.0020000000000000018,0.09152636130650839
34,5155,0.532,6.09249472618103,0.0,0.0,44.0,27.0,51.0,0.0,15.0,18.0,33.0,4.0,0.9339622641509434,0.0188679245283018,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0094339622641509,10,900,7,4,0.953405017921147,0.0020000000000000018,0.10154157876968384
35,5306,0.536,6.22801685333252,0.0,0.0,44.0,27.0,51.0,23.0,15.0,18.0,33.0,4.0,0.9339622641509434,0.0188679245283018,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0094339622641509,10,900,7,4,0.9605734767025089,0.0040000000000000036,0.10380028088887534
40,6056,0.538,6.949136734008789,0.0,0.0,44.0,27.0,51.0,23.0,15.0,18.0,24.0,4.0,0.9339622641509434,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0283018867924528,10,900,7,4,0.96415770609319,0.0020000000000000018,0.11581894556681314
66,9963,0.544,10.742254972457886,0.0,0.0,16.0,27.0,51.0,23.0,15.0,18.0,24.0,4.0,0.9339622641509434,0.0094339622641509,0.0283018867924528,0.0094339622641509,0.0094339622641509,0.0094339622641509,10,900,7,4,0.974910394265233,0.006000000000000005,0.1790375828742981
76,11461,0.546,12.124272346496582,0.0,0.0,16.0,27.0,51.0,23.0,15.0,18.0,33.0,4.0,0.9339622641509434,0.0094339622641509,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0188679245283018,10,900,7,4,0.978494623655914,0.0020000000000000018,0.20207120577494303
94,14163,0.548,14.80008840560913,0.0,0.0,16.0,34.0,51.0,23.0,15.0,18.0,33.0,5.0,0.9150943396226416,0.0283018867924528,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0188679245283018,10,900,7,4,0.9820788530465949,0.0020000000000000018,0.2466681400934855
