,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_nodes,number_of_units,config,seed,improvement,elapsed time (min),scaled score
0,100,0.63,0.2097847461700439,5.0,0.0,45.0,16.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,140,5,1,1,0.0,0.003496412436167398,0.8677685950413223
1,245,0.544,0.375467300415039,42.0,1.0,49.0,16.0,0.0,0.219047619047619,0.1714285714285714,0.1047619047619047,0.0666666666666666,0.2476190476190476,0.1904761904761904,140,5,1,2,0.010000000000000009,0.00625778834025065,0.7493112947658402
2,390,0.562,0.510282039642334,10.0,0.0,20.0,20.0,1.0,0.238095238095238,0.1809523809523809,0.1047619047619047,0.0380952380952381,0.238095238095238,0.2,140,5,1,2,0.018000000000000016,0.008504700660705567,0.7741046831955923
3,534,0.578,0.6192464828491211,2.0,0.0,21.0,27.0,1.0,0.2666666666666666,0.219047619047619,0.1047619047619047,0.0285714285714285,0.238095238095238,0.1428571428571428,140,5,1,2,0.015999999999999903,0.010320774714152018,0.7961432506887052
4,677,0.602,0.7884049415588379,1.0,1.0,50.0,16.0,0.0,0.3523809523809524,0.1619047619047619,0.1333333333333333,0.0476190476190476,0.1714285714285714,0.1333333333333333,140,5,1,2,0.02400000000000002,0.013140082359313965,0.8292011019283747
5,821,0.618,0.8932042121887207,16.0,0.0,42.0,1.0,0.0,0.3714285714285714,0.1714285714285714,0.1428571428571428,0.0571428571428571,0.1238095238095238,0.1333333333333333,140,5,1,2,0.016000000000000014,0.014886736869812012,0.8512396694214877
7,1117,0.654,1.113367795944214,2.0,1.0,20.0,27.0,1.0,0.5094339622641509,0.160377358490566,0.1037735849056603,0.0094339622641509,0.0943396226415094,0.1226415094339622,140,5,1,2,0.03600000000000003,0.01855612993240357,0.9008264462809918
9,1407,0.726,1.3297700881958008,2.0,0.0,32.0,16.0,0.0,0.6792452830188679,0.1509433962264151,0.0471698113207547,0.0094339622641509,0.0471698113207547,0.0660377358490566,140,5,1,2,0.07199999999999995,0.022162834803263348,1.0
0,100,0.534,0.2144250869750976,2.0,1.0,9.0,31.0,1.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,140,5,1,2,0.0,0.00357375144958496,0.7355371900826447
1,246,0.58,0.5958857536315918,5.0,0.0,51.0,16.0,1.0,0.2285714285714285,0.2761904761904762,0.0952380952380952,0.1809523809523809,0.1428571428571428,0.0761904761904762,140,5,1,3,0.014000000000000012,0.009931429227193197,0.7988980716253443
3,541,0.622,0.9087011814117432,16.0,1.0,33.0,5.0,1.0,0.2952380952380952,0.4,0.0571428571428571,0.1619047619047619,0.019047619047619,0.0666666666666666,140,5,1,3,0.04200000000000004,0.01514501969019572,0.8567493112947658
4,691,0.644,1.0387306213378906,8.0,0.0,49.0,16.0,1.0,0.2857142857142857,0.4571428571428571,0.0476190476190476,0.1047619047619047,0.0095238095238095,0.0952380952380952,140,5,1,3,0.02200000000000002,0.01731217702229818,0.8870523415977962
5,838,0.664,1.1706345081329346,27.0,1.0,33.0,3.0,1.0,0.2857142857142857,0.4571428571428571,0.0476190476190476,0.1047619047619047,0.0095238095238095,0.0952380952380952,140,5,1,3,0.020000000000000018,0.01951057513554891,0.9146005509641874
6,986,0.7,1.309520959854126,1.0,0.0,20.0,16.0,0.0,0.3333333333333333,0.4761904761904761,0.0380952380952381,0.0571428571428571,0.0095238095238095,0.0857142857142857,140,5,1,3,0.03599999999999992,0.021825349330902098,0.9641873278236914
20,3069,0.722,3.455917358398437,2.0,0.0,20.0,16.0,0.0,0.5943396226415094,0.330188679245283,0.0094339622641509,0.0094339622641509,0.0283018867924528,0.0283018867924528,140,5,1,3,0.02200000000000002,0.05759862263997395,0.9944903581267217
39,5889,0.726,5.912903785705566,2.0,0.0,32.0,16.0,0.0,0.7830188679245284,0.1509433962264151,0.0283018867924528,0.0094339622641509,0.0094339622641509,0.0188679245283018,140,5,1,3,0.0040000000000000036,0.09854839642842611,1.0
0,100,0.566,0.212717056274414,26.0,1.0,22.0,2.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,140,5,1,3,0.0,0.0035452842712402335,0.7796143250688705
1,247,0.568,0.3489720821380615,55.0,1.0,20.0,20.0,1.0,0.219047619047619,0.219047619047619,0.1619047619047619,0.1428571428571428,0.1523809523809524,0.1047619047619047,140,5,1,4,0.017999999999999905,0.005816201368967692,0.7823691460055096
2,393,0.58,0.5403468608856201,21.0,1.0,28.0,16.0,0.0,0.3238095238095238,0.1714285714285714,0.1714285714285714,0.0761904761904762,0.1714285714285714,0.0857142857142857,140,5,1,4,0.01200000000000001,0.009005781014760334,0.7988980716253443
5,839,0.606,0.9099204540252686,4.0,0.0,41.0,16.0,1.0,0.5428571428571428,0.238095238095238,0.0666666666666666,0.0380952380952381,0.0571428571428571,0.0571428571428571,140,5,1,4,0.026000000000000023,0.015165340900421143,0.8347107438016529
6,988,0.646,1.0337419509887695,2.0,0.0,25.0,16.0,1.0,0.5428571428571428,0.238095238095238,0.0666666666666666,0.0380952380952381,0.0571428571428571,0.0571428571428571,140,5,1,4,0.040000000000000036,0.017229032516479493,0.8898071625344353
8,1288,0.714,1.227752685546875,2.0,0.0,28.0,16.0,0.0,0.8018867924528302,0.1226415094339622,0.0377358490566037,0.0094339622641509,0.0188679245283018,0.0094339622641509,140,5,1,4,0.06799999999999995,0.020462544759114583,0.9834710743801652
11,1733,0.726,1.56961989402771,2.0,0.0,32.0,16.0,0.0,0.8490566037735849,0.0660377358490566,0.0566037735849056,0.0094339622641509,0.0094339622641509,0.0094339622641509,140,5,1,4,0.01200000000000001,0.0261603315671285,1.0
0,100,0.55,0.2119646072387695,59.0,1.0,19.0,16.0,1.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,140,5,1,4,0.0,0.0035327434539794917,0.7575757575757577
1,242,0.83,0.4264512062072754,8.0,1.0,18.0,38.0,12.0,0.1047619047619047,0.2761904761904762,0.1428571428571428,0.2,0.1142857142857142,0.1619047619047619,140,5,2,0,0.12,0.0071075201034545895,0.9021739130434782
3,537,0.84,0.676060676574707,0.0,0.0,14.0,19.0,18.0,0.2952380952380952,0.3142857142857143,0.1142857142857142,0.1238095238095238,0.0095238095238095,0.1428571428571428,140,5,2,0,0.010000000000000009,0.011267677942911784,0.9130434782608695
4,681,0.87,0.8625915050506592,2.0,1.0,14.0,41.0,47.0,0.3809523809523809,0.3238095238095238,0.0761904761904762,0.0952380952380952,0.0095238095238095,0.1142857142857142,140,5,2,0,0.030000000000000027,0.014376525084177654,0.9456521739130435
5,827,0.88,1.0027103424072266,2.0,1.0,13.0,41.0,47.0,0.4245283018867924,0.3584905660377358,0.0754716981132075,0.0660377358490566,0.0094339622641509,0.0660377358490566,140,5,2,0,0.010000000000000009,0.016711839040120444,0.9565217391304347
7,1122,0.882,1.254049301147461,8.0,1.0,14.0,41.0,47.0,0.5660377358490566,0.3018867924528302,0.0471698113207547,0.0283018867924528,0.0094339622641509,0.0471698113207547,140,5,2,0,0.0020000000000000018,0.020900821685791014,0.9586956521739131
